,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
369,Kautokeino,69.01,23.04,38.7,88,100,19.86,NO,1604362318
370,San Lazaro,18.04,-88.66,77.0,94,90,14.99,BZ,1604362318
371,Padang,-0.95,100.35,78.55,74,100,3.09,ID,1604362319
372,Kumul,42.8,93.45,34.34,82,0,2.48,CN,1604362319
373,Nanortalik,60.14,-45.24,32.4,84,87,6.82,GL,1604362320
374,Kailua,21.4,-157.74,84.2,62,40,10.29,US,1604362320
375,Zhoucheng,35.91,116.31,48.99,1,0,3.11,CN,1604362321
376,Butajīra,8.12,38.37,54.52,54,3,8.01,ET,1604362321
377,Scottsbluff,41.87,-103.67,73.4,23,1,7.25,US,1604362230
378,Subiaco,41.93,13.09,52.0,86,49,1.59,IT,1604362322
379,Milledgeville,33.08,-83.23,53.6,66,1,1.63,US,1604362209
380,Bongandanga,1.5,21.05,70.36,97,100,1.21,CD,1604362324
381,Corinth,37.94,22.96,57.99,67,85,1.01,GR,1604362324
382,Ząbkowice Śląskie,50.59,16.81,60.01,75,95,5.01,PL,1604362321
383,Husavik,66.04,-17.34,37.4,93,90,16.11,IS,1604362325
384,Caravelas,-17.71,-39.25,72.46,74,97,12.46,BR,1604362325
385,Abong Mbang,3.98,13.18,67.89,97,92,0.4,CM,1604362326
386,Codrington,-38.27,141.97,74.19,66,83,16.2,AU,1604362316
387,Pryazha,61.69,33.62,42.8,87,100,13.42,RU,1604362327
388,Mbanza-Ngungu,-5.25,14.87,69.98,94,100,2.28,CD,1604362327
389,Diu,20.71,70.98,76.86,45,0,11.25,IN,1604362328
390,Conceição do Araguaia,-8.26,-49.26,75.81,81,79,1.28,BR,1604362297
391,Labuhan,-6.88,112.21,80.47,79,99,7.34,ID,1604362329
392,Adrar,20.5,-10.07,80.22,17,100,9.71,MR,1604362329
393,Lavrentiya,65.58,-171.0,21.18,86,0,2.01,RU,1604362330
394,Menongue,-14.66,17.69,66.65,77,60,5.75,AO,1604362330
395,Tsumeb,-19.23,17.72,75.52,41,47,5.93,NA,1604362331
396,Omsukchan,62.53,155.8,13.19,93,100,5.28,RU,1604362331
397,Rawson,-43.3,-65.1,75.38,29,100,19.62,AR,1604362144
398,Flinders,-34.58,150.86,69.01,70,14,3.0,AU,1604362332
399,Broome,42.25,-75.83,34.0,92,90,8.05,US,1604362333
400,Tokur,53.13,132.9,12.81,92,100,5.1,RU,1604362326
401,Maltahöhe,-24.83,16.98,57.33,75,0,2.68,NA,1604362334
402,Mujiayingzi,42.12,118.78,22.37,71,0,7.52,CN,1604362334
403,Kuala Terengganu,5.33,103.14,78.8,94,40,2.24,MY,1604362315
404,Yar-Sale,66.83,70.83,16.86,96,70,8.86,RU,1604362335
405,Iquitos,-3.75,-73.25,86.0,66,20,2.24,PE,1604362336
406,Polyarnyye Zori,67.37,32.5,38.62,94,100,12.68,RU,1604362336
407,Seydi,39.48,62.91,50.23,38,0,9.55,TM,1604362337
408,Fortuna,40.6,-124.16,48.2,93,90,14.99,US,1604362337
409,Trairi,-3.28,-39.27,80.1,78,11,10.71,BR,1604362338
410,Cabo San Lucas,22.89,-109.91,84.99,58,20,5.82,MX,1604362338
411,Franklin,39.97,-83.02,44.6,28,20,10.29,US,1604362338
412,Tateyama,34.98,139.87,62.6,93,75,3.36,JP,1604362339
413,Muroto-misakicho,33.28,134.15,60.8,59,20,12.75,JP,1604362340
414,Oranjestad,12.52,-70.03,84.2,79,20,9.17,AW,1604362340
415,Port Augusta,-32.5,137.77,86.0,25,11,18.34,AU,1604362340
416,Aragats,40.49,44.35,48.2,81,20,2.89,AM,1604362341
417,Pio IX,-6.84,-40.58,71.92,86,99,5.95,BR,1604362341
418,Cidreira,-30.18,-50.21,62.29,77,0,7.83,BR,1604362341
419,Tombouctou,20.0,-3.0,83.93,16,100,7.02,ML,1604362342
420,Tereze,43.94,42.44,51.8,87,75,4.47,RU,1604362342
421,Jambi City,-1.6,103.62,73.06,98,100,0.83,ID,1604362343
422,Zeya,53.75,127.27,16.36,81,95,6.69,RU,1604362343
423,Asău,46.43,26.4,48.0,88,100,4.36,RO,1604362344
424,Casino,-28.87,153.05,73.4,43,14,10.29,AU,1604362344
425,Rocha,-34.48,-54.33,53.13,92,13,5.12,UY,1604362345
426,Lerwick,60.15,-1.15,48.2,70,36,19.46,GB,1604362345
427,Egvekinot,66.32,-179.17,13.51,92,96,1.88,RU,1604362346
428,Quesnel,53.0,-122.5,55.4,60,90,6.93,CA,1604362346
429,Tuy Hoa,13.08,109.3,74.71,86,98,6.87,VN,1604362048
430,Saurimo,-9.66,20.39,64.71,96,50,4.38,AO,1604362347
431,Ust-Maya,60.42,134.53,-5.58,87,10,9.78,RU,1604362348
432,Jumla,29.27,82.18,42.8,61,0,6.4,NP,1604362348
433,Portland,45.52,-122.68,66.2,39,40,4.7,US,1604362247
434,Mount Vernon,40.91,-73.84,44.6,30,20,18.34,US,1604362349
435,El Sauce,12.89,-86.54,71.6,100,90,1.36,NI,1604362350
436,Port-Cartier,50.03,-66.87,28.4,74,100,18.34,CA,1604362350
437,Rafaela,-31.25,-61.49,69.01,45,2,4.0,AR,1604362351
438,Izhma,65.01,53.91,29.95,90,28,10.33,RU,1604362352
439,Sechura,-5.56,-80.82,66.31,71,18,15.1,PE,1604362352
440,Uvinza,-5.1,30.39,73.58,60,92,2.51,TZ,1604362353
441,Charlottesville,38.03,-78.48,48.2,21,1,3.36,US,1604362278
442,Ilmajoki,62.73,22.57,54.0,93,75,9.17,FI,1604362354
443,Manaure,11.78,-72.44,82.69,78,100,9.75,CO,1604362354
444,Alice,27.75,-98.07,75.2,36,1,4.7,US,1604362354
445,Beruwala,6.48,79.98,76.91,87,54,4.0,LK,1604362355
446,Constitución,-35.33,-72.42,52.93,90,49,12.88,CL,1604362355
447,Katsuura,35.13,140.3,61.0,94,100,1.16,JP,1604362147
448,Hamilton,39.18,-84.53,44.01,35,1,10.29,US,1604362116
449,Tiznit Province,29.58,-9.5,66.94,35,0,2.28,MA,1604362357
450,Moussoro,13.64,16.49,83.71,22,72,16.98,TD,1604362357
451,Zonguldak,41.25,31.83,45.32,80,33,3.15,TR,1604362358
452,Moose Factory,51.26,-80.61,26.6,92,90,17.22,CA,1604362359
453,Frankfort,-27.27,28.48,56.23,76,5,2.93,ZA,1604362359
454,Eyl,7.98,49.82,79.74,72,10,16.73,SO,1604362360
455,Lalian,31.82,72.8,60.78,31,0,0.4,PK,1604362360
456,Honiara,-9.43,159.95,75.2,100,75,6.93,SB,1604362361
457,Havre-St-Pierre,50.23,-63.6,39.2,93,90,9.17,CA,1604362361
458,São João da Barra,-21.64,-41.05,68.76,67,83,11.41,BR,1604362362
459,Mackay,-21.15,149.2,84.2,58,40,20.8,AU,1604362089
460,Kitui,-1.37,38.01,65.14,89,65,5.82,KE,1604362362
461,Te Anau,-45.42,167.72,64.98,43,62,1.59,NZ,1604362363
462,Whitianga,-36.83,175.7,67.05,75,100,10.54,NZ,1604362363
463,Juegang,32.32,121.19,57.99,99,2,1.01,CN,1604362364
464,Herveo,5.08,-75.17,55.63,91,71,4.52,CO,1604362364
465,Gberia Fotombu,9.88,-11.17,71.85,74,8,2.66,SL,1604362364
466,Akle,15.05,121.07,82.0,94,75,2.24,PH,1604362365
467,Moratuwa,6.77,79.88,78.8,88,30,2.24,LK,1604362365
468,Sarh,9.14,18.39,77.0,88,0,2.57,TD,1604362366
469,Sabang,5.89,95.32,81.36,78,47,4.05,ID,1604362367
470,Kolosovka,56.47,73.61,28.9,97,99,6.71,RU,1604362367
471,Cauquenes,-35.97,-72.32,56.37,79,5,6.87,CL,1604362072
472,Spring Valley,36.11,-115.25,86.0,10,75,1.28,US,1604362317
473,Kendari,-3.94,122.5,78.35,83,90,2.57,ID,1604362368
474,Kilingi-Nõmme,58.15,24.96,49.91,90,100,14.34,EE,1604362368
475,Inverness,57.48,-4.22,41.0,93,100,8.05,GB,1604362369
476,Santiago,-33.46,-70.65,72.0,46,0,12.75,CL,1604362280
477,Jining,35.41,116.58,48.99,1,34,4.47,CN,1604362370
478,Pingliang,35.54,106.69,42.13,61,96,3.98,CN,1604362371
479,Cap Malheureux,-19.98,57.61,66.0,75,30,1.99,MU,1604362371
480,Ust-Tsilma,65.44,52.15,30.33,89,13,7.7,RU,1604362372
481,San Cristobal,7.77,-72.22,68.25,92,94,2.39,VE,1604362345
482,Kashgar,39.45,75.98,41.0,41,0,11.18,CN,1604362373
483,Champawat,29.33,80.1,47.82,98,0,4.83,IN,1604362373
484,Lakatoro,-16.1,167.42,82.4,74,75,4.7,VU,1604362374
485,North Myrtle Beach,33.82,-78.68,48.2,49,1,4.7,US,1604362374
486,Zhigansk,66.77,123.37,0.28,90,100,19.66,RU,1604362374
487,Arrondissement de Carpentras,44.08,5.17,57.2,93,90,1.12,FR,1604362375
488,Arrondissement de Bastia,42.67,9.33,62.01,82,75,3.36,FR,1604362266
489,Raudeberg,61.99,5.14,45.0,92,99,20.24,NO,1604362375
490,Kologriv,58.83,44.32,30.78,97,13,6.6,RU,1604362376
491,Naryan-Mar,67.67,53.09,29.93,93,100,13.18,RU,1604362376
492,Skellefteå,64.75,20.95,48.0,93,0,5.82,SE,1604362377
493,Palāsbāri,26.14,91.55,77.0,100,40,2.04,IN,1604362377
494,Russell,32.35,-85.2,59.0,61,1,4.7,US,1604362378
495,Samoded,63.61,40.51,38.79,85,89,12.48,RU,1604362378
496,Palmer,42.16,-72.33,35.6,47,20,16.11,US,1604362378
497,Kizhinga,51.85,109.91,14.11,88,41,1.88,RU,1604362379
498,Novy Urengoy,66.08,76.63,18.37,97,99,12.62,RU,1604362380
499,Melo,-32.37,-54.18,54.9,90,30,8.61,UY,1604362380
500,Airai,-8.93,125.41,75.09,43,61,3.94,TL,1604362381
501,Krasnogorsk,55.82,37.32,43.0,93,90,8.95,RU,1604362381
502,Adelaide,-34.93,138.6,87.8,16,0,23.04,AU,1604362196
503,Kuching,1.55,110.33,75.2,94,20,2.24,MY,1604362382
504,Ahipara,-35.17,173.17,69.15,71,100,11.95,NZ,1604362383
505,Nichinan,31.6,131.37,60.8,72,40,11.41,JP,1604362383
506,Domoni,-12.26,44.53,75.42,82,21,6.11,KM,1604362384
507,Caceres,39.52,-6.37,60.01,95,100,2.53,ES,1604362384
508,Newport,51.59,-3.0,46.99,89,3,10.94,GB,1604362384
509,Inhambane,-23.86,35.38,71.46,78,14,4.21,MZ,1604362385
510,Beaverlodge,55.22,-119.44,59.0,41,75,20.8,CA,1604362386
511,Muravlenko,63.79,74.52,12.4,96,10,11.21,RU,1604362386
512,Helong,42.54,129.0,26.46,76,1,14.0,CN,1604362387
513,Gelemso,8.82,40.52,55.17,52,5,1.9,ET,1604362387
514,Mangai,-4.05,19.53,70.57,98,100,0.58,CD,1604362388
515,Gamba,-2.65,10.0,75.06,92,29,2.64,GA,1604362388
516,Mulchén,-37.72,-72.23,64.51,68,31,4.88,CL,1604362389
517,Handiā,25.38,82.18,68.0,82,20,4.7,IN,1604362389
518,Noril'sk,69.35,88.2,10.4,92,40,4.74,RU,1604362389
519,Cam Ranh,11.92,109.16,78.8,78,75,4.7,VN,1604362281
520,Imeni Babushkina,59.76,43.13,33.82,94,73,7.63,RU,1604362390
521,Phalaborwa,-23.94,31.14,68.0,82,19,6.93,ZA,1604362390
522,Lexington,37.99,-84.48,41.0,41,1,4.7,US,1604362391
523,Oktyabr'skiy,54.48,53.47,33.15,94,43,3.49,RU,1604362392
524,Gravdal,68.12,13.5,47.62,79,100,25.55,NO,1604362392
525,Vila Franca do Campo,37.72,-25.43,60.8,67,40,6.93,PT,1604362393
526,Thunder Bay,48.4,-89.32,44.6,52,20,9.17,CA,1604362393
527,Yavas,54.42,42.85,39.96,90,93,6.15,RU,1604362393
528,Hyderabad,17.38,78.47,73.0,94,0,4.7,IN,1604362191
529,São Félix do Xingu,-6.64,-51.99,74.28,91,94,1.21,BR,1604362394
530,Guarapari,-20.67,-40.5,70.0,68,20,8.05,BR,1604362395
531,Campos Belos,-13.04,-46.77,70.54,92,56,1.01,BR,1604362395
532,Mirador,-6.37,-44.36,75.0,89,99,4.92,BR,1604362396
533,Toledo,39.83,-4.0,63.0,69,63,5.1,ES,1604362230
534,Kostomuksha,64.57,30.58,45.86,84,100,23.09,RU,1604362397
535,Kyra,49.58,111.98,12.15,79,0,3.13,RU,1604362397
536,Ténenkou,14.46,-4.92,79.97,17,42,8.37,ML,1604362398
537,Sioux Lookout,50.1,-91.92,39.2,69,75,3.36,CA,1604362398
538,Yangi Marg`ilon,40.43,71.72,42.8,41,0,4.7,UZ,1604362399
539,San Rafael,-34.62,-68.33,78.69,17,39,12.84,AR,1604362399
540,Muros,42.78,-9.06,46.99,95,26,1.01,ES,1604362399
541,Chapais,49.78,-74.85,17.6,92,90,5.82,CA,1604362400
542,Nyurba,63.28,118.33,8.35,85,100,7.96,RU,1604362400
543,Tura,25.52,90.22,69.39,93,82,1.28,IN,1604362401
544,Starodzhereliyevskaya,45.48,38.3,53.01,87,100,1.01,RU,1604362402
545,Pa Daet,19.5,99.99,73.99,100,40,0.45,TH,1604362403
546,Atar,20.52,-13.05,81.09,18,94,10.69,MR,1604362403
547,Dneprovskaya,45.62,38.81,53.01,100,93,9.17,RU,1604362404
548,Sørland,67.67,12.69,46.53,87,100,25.39,NO,1604362404
549,Yafran,32.06,12.53,57.97,55,0,5.35,LY,1604362405
550,Baghdad,33.34,44.4,77.0,33,75,11.41,IQ,1604362405
551,Ipiaú,-14.14,-39.73,68.29,96,100,2.1,BR,1604362406
552,Iquique,-20.22,-70.14,62.6,72,40,14.99,CL,1604362318
553,Hede,33.77,120.25,54.46,42,0,11.23,CN,1604362406
554,San Fernando del Valle de Catamarca,-28.47,-65.79,62.01,52,3,9.19,AR,1604362142
555,Saint-Gabriel,46.3,-73.38,33.8,47,46,20.8,CA,1604362407
556,Punta Alta,-38.88,-62.07,70.3,48,0,14.65,AR,1604362406
557,Ashti,19.38,76.23,67.06,66,0,1.59,IN,1604362408
558,Bilma,18.69,12.92,71.1,23,2,9.17,NE,1604362409
559,Wuning,29.26,120.23,57.25,69,0,6.73,CN,1604362409
560,Pulaski,34.77,-92.3,55.4,37,1,5.82,US,1604362410
561,Manakara,-22.13,48.02,67.05,82,20,3.4,MG,1604362410
562,Richards Bay,-28.78,32.04,67.44,93,29,7.63,ZA,1604362411
563,Zambezi,-13.54,23.1,71.1,45,51,2.98,ZM,1604362411
564,Cërrik,41.03,19.98,51.8,93,90,2.24,AL,1604362412
